SKU,Description,MSRP,BRONZE_Price,SILVER_Price,GOLD_Price,PLATINUM_Price
193092002202,ZERO2 YOUTH STOCK HELMET,464.99,390.0,352.5,315.0,280.0
193092006,ZERO2 YOUTH HELMET –  NO FACEMASK,321.99,292.5,263.5,234.5,199.5
19309E2006206,ZERO2 YOUTH ELITE STOCK HELMET,584.99,510.0,452.5,405.0,370.0
193025002202,ZERO2 TRENCH STOCK HELMET,779.99,605.0,547.5,490.0,440.0
193025006,ZERO2 TRENCH HELMET –  NO FACEMASK,569.99,507.5,458.5,409.5,359.5
19302E5006306,ZERO2 TRENCH ELITE STOCK HELMET,929.99,745.0,672.5,600.0,550.0
193004002202,ZERO2 STOCK HELMET,679.99,580.0,530.0,470.0,415.0
14-20561,ZERO2 STANDARD HARDWARE STABILIZER PLATE KIT,0.0,33.0,30.5,26.5,26.5
1911306,ZERO2 SO-223E FACEMASK,140.0,97.5,89.0,80.5,80.5
1911106,ZERO2 SO-223 FACEMASK,140.0,97.5,89.0,80.5,80.5
1908006,ZERO2 SO-215T FACEMASK,265.0,177.5,161.0,145.0,145.0
1908606,ZERO2 SO-215E FACEMASK,265.0,177.5,161.0,145.0,145.0
1911506,ZERO2 SO-213E FACEMASK,140.0,97.5,89.0,80.5,80.5
1922106,ZERO2 SO-212E-5 FACEMASK,140.0,107.5,99.0,90.5,90.5
1922006,ZERO2 SO-212E-4 FACEMASK,140.0,107.5,99.0,90.5,90.5
1921906,ZERO2 SO-212E-3 FACEMASK,140.0,107.5,99.0,90.5,90.5
1911606,ZERO2 SO-212E-2 FACEMASK,140.0,97.5,89.0,80.5,80.5
1910506,ZERO2 SO-212E FACEMASK,140.0,97.5,89.0,80.5,80.5
1908806,ZERO2 SO-212-3 FACEMASK,265.0,177.5,161.0,145.0,145.0
1908206,ZERO2 SO-212-2 FACEMASK,265.0,177.5,161.0,145.0,145.0
1910606,ZERO2 SO-212 FACEMASK,140.0,97.5,89.0,80.5,80.5
1907806,ZERO2 SK-212 FACEMASK,248.0,177.5,161.0,145.0,145.0
1911006,ZERO2 SC-223E FACEMASK,140.0,97.5,89.0,80.5,80.5
1907606,ZERO2 SC-223 FACEMASK,140.0,177.5,161.0,145.0,145.0
01-20277-01,ZERO2 QUARTER-TURN LOOP STRAPS,0.0,1.5,1.25,1.0,1.0
14-20432,ZERO2 QUARTER TURN STABILIZER PLATES UPGRADE KIT,0.0,54.5,49.0,44.0,44.0
19304E4006106,ZERO2 QB ELITE STOCK HELMET,949.99,725.0,667.5,600.0,545.0
17566-001,ZERO2 OAKLEY EDGE VISOR CLIPS,0.0,12.5,11.5,10.5,10.5
193004006,ZERO2 HELMET –  NO FACEMASK,536.99,482.5,441.0,389.5,334.5
14-20283-4,ZERO2 FIT KIT,70.0,,,,
19300E4006206,ZERO2 ELITE STOCK HELMET,829.99,705.0,647.5,580.0,525.0
01-20427-006,ZERO2 ANKR LOCKS (PAIR),23.99,16.5,15.0,13.5,13.5
13230102,YOUTH VINYL DIPPED REINFORCED UNIVERSAL THIGH PADS,19.99,15.0,14.0,12.5,12.5
79811105N0706,YOUTH VENTILATED RIB PROTECTOR,46.0,32.0,29.0,26.0,26.0
799221N0506,YOUTH VENTILATED BACK PLATE,25.0,,,,
74300906,YOUTH VENGEANCE ROPO-TRAD FACEMASK,39.0,,,,
74300206,YOUTH VENGEANCE EGOP-II FACEMASK,39.0,,,,
75301706,YOUTH VENGEANCE A11 ROPO-TRAD FACEMASK,39.0,44.0,39.5,35.0,35.0
74310206,YOUTH VENGEANCE A11 ROPO-DW-TRAD FACEMASK,39.0,,,,
2.058E+12,YOUTH VENGEANCE A11 2.0 STOCK HELMET,209.99,,,,
01-19202-2,YOUTH VENGEANCE A11 2.0 LATERAL LINER,27.0,27.0,24.5,22.0,22.0
2058001012,YOUTH VENGEANCE A11 2.0 HELMET –  NO FACEMASK (MOLDED AND METALLIC COLORS),119.0,,,,
2058001M06,YOUTH VENGEANCE A11 2.0 HELMET –  NO FACEMASK (MATTE COLORS),151.0,,,,
01-14852-8,YOUTH VENGEANCE A11 2.0 CROWN LINER,20.0,22.5,20.5,18.0,18.0
E0002405-4,YOUTH SOFT CUP CHINSTRAP,13.99,10.5,10.0,9.0,9.0
79850000,YOUTH SHOULDER PAD COLLAR,35.0,26.5,24.0,21.5,21.5
84314503F,YOUTH PRO-CUT PRACTICE JERSEY,1.0,,,,
13061202,YOUTH PREMIUM LIGHTWEIGHT SLOTTED HIP PAD SET,12.5,12.5,11.5,10.0,10.0
70810306N07,YOUTH O-SEVEN SOFT SHOULDER PADS,5.0,,,,
7992206N07,YOUTH NEON BACK PLATE,28.0,,,,
14035003,YOUTH MOUTHGARD WITH STRAP - 100 PACK,25.0,52.5,48.0,43.0,43.0
2087003002201,YOUTH F7 LX1 STOCK HELMET,354.99,,,,
01-19240,YOUTH F7 LX1 LATERAL LINER,42.5,42.5,38.5,34.0,34.0
2087005M03,YOUTH F7 LX1 HELMET – NO FACEMASK,100.0,259.0,235.5,213.0,189.0
2087003006,YOUTH F7 LX1 HELMET –  NO FACEMASK (MOLDED AND METALLIC COLORS),277.99,,,,
01-19828-1,YOUTH F7 LX1 CROWN LINER,94.0,,,,
84002322,YOUTH ELITE HEATED HANDWARMER,0.0,,,,
13621102F,YOUTH 7-PIECE SLOTTED PAD SET,6.0,,,,
13621102,YOUTH 7-PIECE PAD SET WITH SLOTTED HIP PADS,0.0,15.5,14.0,12.5,12.5
13651202,Y7PSS 7PC SLIDE SNAP IN,0.0,16.0,14.5,13.0,13.0
80120001,Y-FLEX YOUTH SHOULDER PADS,40.0,60.0,54.5,49.5,45.0
81131703,XV7 SHOULDER PADS - SKILL,305.0,,,,
81130503,XV7 SHOULDER PADS - QB/WR,305.0,,,,
