Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Barrel Color (product.metafields.custom.barrel_color),Barrel Shape (product.metafields.custom.barrel_shape),Bat Series (product.metafields.custom.bat_series),Compatible Helmet Type (product.metafields.custom.compatible_helmet_type),Facemask/No Facemask (product.metafields.custom.facemask_no_facemask),Knob Shape (product.metafields.custom.knob_shape),Leadtime (product.metafields.custom.leadtime),Level of Play (product.metafields.custom.level_of_play),Custom Pricing Upgrades (product.metafields.custom.pricing),Key Specs (product.metafields.portul.keyspecs),Includes (product.metafields.product.includes),Product rating count (product.metafields.reviews.rating_count),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Colors (product.metafields.specs.color),Head Circumference — Size (product.metafields.specs.headcircumferencesize),Material (product.metafields.specs.material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Status
youth-pro-cut-practice-jersey,YOUTH PRO-CUT PRACTICE JERSEY,"",Certor B2B,,Closeout,"",true,Size,Large,,Color,Scarlet,,,,,84314503F,0.0,shopify,deny,manual,1.00,,true,true,,,,,714195412455,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/thg22t0.png?v=1770133824,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/thg22t0.png?v=1770133824,lb,,,true,,,active
youth-mouthgard-with-strap-100-pack,YOUTH MOUTHGARD WITH STRAP - 100 PACK,"",Certor B2B,,Closeout,"",true,Color,Scarlet,,,,,,,,14035003,0.0,shopify,deny,manual,25.00,,true,true,,,,,714195714719,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/7ZucXId_96ca50e0-c285-4444-882a-896a1c7b915b.png?v=1770133821,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/7ZucXId_96ca50e0-c285-4444-882a-896a1c7b915b.png?v=1770133821,lb,,,true,,,active
youth-mouthgard-with-strap-100-pack,,,,,,,,,Black,,,,,,,,14035006,0.0,shopify,deny,manual,25.00,,true,true,,,,,714195713910,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NxrSrXW_4c60b16a-29bf-4e03-84df-6175695a9887.png?v=1770133820,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/NxrSrXW_4c60b16a-29bf-4e03-84df-6175695a9887.png?v=1770133820,lb,,,,,,
youth-mouthgard-with-strap-100-pack,,,,,,,,,Navy,,,,,,,,14035008,0.0,shopify,deny,manual,25.00,,true,true,,,,,714195714313,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/eE2qn9F_93acad19-a464-4a5a-806f-30f38ed6b806.png?v=1770133820,3,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/eE2qn9F_93acad19-a464-4a5a-806f-30f38ed6b806.png?v=1770133820,lb,,,,,,
youth-7-piece-slotted-pad-set,YOUTH 7-PIECE SLOTTED PAD SET,"",Certor B2B,,Closeout,"",true,Color,White,,,,,,,,13621102F,0.0,shopify,deny,manual,6.00,,true,true,,,,,714195586958,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/HW1gq7T.png?v=1770133816,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/HW1gq7T.png?v=1770133816,lb,,,true,,,active
youth-3-piece-hip-pad-set,YOUTH 3-PIECE HIP PAD SET,"",Certor B2B,,Closeout,"",true,Color,White,,,,,,,,13061202,0.0,shopify,deny,manual,4.00,,true,true,,,,,714195612022,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/hJN88z3.jpg?v=1770133814,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/hJN88z3.jpg?v=1770133814,lb,,,true,,,active
xr2-batting-helmet,XR2 BATTING HELMET,"",Certor B2B,,Closeout,"",true,Size,X-Small,,Color,Matte White,,,,,3356502M02T,0.0,shopify,deny,manual,5.00,,true,true,,,,,714195688386,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/5dcfLKE.jpg?v=1770133806,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/5dcfLKE.jpg?v=1770133806,lb,,,true,,,active
xr2-batting-helmet,,,,,,,,,Small,,,White,,,,,33565030023002,0.0,shopify,deny,manual,5.00,,true,true,,,,,714195337628,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/ySKjRzp.jpg?v=1770133806,2,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/ySKjRzp.jpg?v=1770133806,lb,,,,,,
xr2-batting-helmet,,,,,,,,,Medium,,,Matte True Royal Blue,,,,,3356504M05T,0.0,shopify,deny,manual,5.00,,true,true,,,,,714195693885,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/s5f4bKm.jpg?v=1770133806,3,"",,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/s5f4bKm.jpg?v=1770133806,lb,,,,,,
varsity-protech-shirt,VARSITY PROTECH SHIRT,"",Certor B2B,,Closeout,"",true,Size,Medium,,Color,Black,,,,,8433440601F,0.0,shopify,deny,manual,10.00,,true,true,,,,,714195679476,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/1gUizNe.jpg?v=1770133797,1,"",false,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0953/1913/0421/files/1gUizNe.jpg?v=1770133797,lb,,,true,,,active
